event,lat,lon,state,event_time,start_time,accum_time,period_start,period_end,exceedance,accumulation,exceed_pts,exceed_vol,exceed_length,max_1hr,max_pflength,pflength_duration,ari_10,ari_25,ari_50,ari_100,ari_500,ari_1000,tc_flag,iso_flag,mcs_flag,noct_flag,qc_flag
65,45.49429310539768,-87.33062152159476,MI,2002042414,2002042412,2002042500,2002042407,2002042504,28.55399995708464,99.41999995708466,46,344.6808763470193,9.792865075052964,25.8799991607666,1060.881829,12,70.86600000000001,86.106,99.0337073985038,112.77600000000002,149.098,166.34370739850382,0,0,1,0,1
66,32.69856095749602,-99.4064672808841,TX,2002042518,2002042515,2002042603,2002042506,2002042606,85.46799724864958,199.2599972486496,24,960.9659453883386,11.125510967251602,64.37999725341797,897.3240443,7,113.79200000000002,141.47800000000004,164.38175964987343,189.78175964987344,260.6477596498734,295.91,0,0,1,0,1
67,42.41387427321041,-100.5228355933682,NE,2002042717,2002042707,2002042719,2002042702,2002042804,75.05799938488005,152.01999938488007,122,1629.7120592491603,12.09950454439126,48.75,1104.042422,6,76.96200000000002,92.202,103.886,115.76124948685867,144.06211662903996,156.4012494868587,0,0,1,0,1
68,44.0680275786913,-88.29832845607302,WI,2002042803,2002042719,2002042807,2002042713,2002042817,150.0104574981131,229.25,9,278.4806900832765,12.26904689004413,304.75,933.434906,5,79.23954250188687,96.73226476729208,111.4212500587981,127.20380726917892,168.40327947578606,188.09725179998927,0,0,1,1,0
69,33.6738045634048,-86.77036096161271,AL,2002043019,2002043009,2002043021,2002043008,2002050111,52.48571101645605,172.14000022411346,54,704.9103753474922,8.892015008501081,79.75,841.2184906,4,119.6542892076574,143.78428920765742,164.2782674231658,186.47230624488373,245.31495755636945,273.52497459359586,0,0,1,0,1
70,29.372735621455785,-81.49284098606722,FL,2002050100,2002043021,2002050101,2002043013,2002050109,35.186972411802856,170.0,2,51.46033244148987,3.810283718650465,76.0,241.6091246,1,134.81302758819714,166.04545046455323,193.0384116388585,222.75641163885857,303.26483451521466,342.54017569682986,0,0,0,0,1
71,37.39756193975835,-81.5950068863134,WV,2002050220,2002050216,2002050300,2002050207,2002050309,59.16255828025595,131.0,197,2713.380656469823,11.628939530468458,39.75,1584.606607,8,71.83744171974405,84.42935404865288,94.81376818630216,105.46679576839692,132.20856395469912,146.4325639546991,0,0,1,0,1
72,34.26198035457957,-87.85790128738131,AL,2002050315,2002050307,2002050319,2002050219,2002050402,69.78440170477374,196.03000140190125,246,4793.092001494251,11.301179336619937,53.25,1225.869738,12,126.2455996971275,149.24068428832476,167.28821291921363,186.0706842883248,231.67936857664955,252.2533685766495,0,0,1,0,1
73,34.995358569436135,-84.50222773009386,TN,2002050323,2002050318,2002050405,2002050312,2002050411,36.80904371211827,152.39999961853027,2,40.79923416246263,0.0,55.5,1084.799912,4,115.590955906412,135.61173284117817,151.643655145776,167.89965514577602,207.3071854344668,224.90063802775543,0,0,1,0,1
74,32.282884058150266,-87.83192304852639,AL,2002050423,2002050418,2002050501,2002050413,2002050507,9.586440658961948,136.60000610351562,1,9.586440658961948,0.0,45.880001068115234,419.3865996,3,127.01356544455368,153.68356544455366,175.78388860057598,199.67113088910733,262.19862976799243,291.7173709354089,0,0,0,0,1
75,32.60417013083701,-101.10110823562582,TX,2002050503,2002050501,2002050506,2002050416,2002050515,55.24199938964844,159.88999938964844,21,473.7985114811346,11.113845527480873,64.12999725341797,360.4472271,2,104.648,131.064,152.39999999999998,175.8015704479657,241.4439945340128,273.82881710097666,0,0,0,1,1
76,32.7305268003311,-82.29381383305986,GA,2002050506,2002050423,2002050509,2002050419,2002050514,28.35845169575705,141.25999915599823,1,28.35845169575705,0.0,106.75,399.0121252,2,112.90154746024118,137.58258364150242,159.00399999999996,182.60419483637787,246.61219483637788,277.79058364150245,0,0,0,1,0
77,32.870989344059936,-96.8795920493236,TX,2002050510,2002050508,2002050514,2002050500,2002050521,9.233639481862385,138.38000011444092,1,9.233639481862385,0.0,64.0,570.7082617,5,129.1463606325785,157.08636063257853,179.37900041573607,203.0010004157361,264.9045189774737,294.1695193932098,0,0,1,1,1
78,30.967530002382983,-103.0171150519194,TX,2002050522,2002050521,2002050601,2002050511,2002050611,61.926,146.0,19,475.67570784850994,10.934948774170488,80.75,199.562304,0,84.074,104.38067102780607,120.38267102780608,136.89267102780605,179.80534205561216,199.61734205561217,0,1,0,0,1
79,45.57092677400246,-88.64830860790937,WI,2002050605,2002050602,2002050607,2002050518,2002050616,19.328000000000003,93.75,98,730.6571493322435,12.405052650591848,42.0,882.42643,5,74.422,90.90661655602555,104.902,120.14200000000002,160.98396970484708,180.54196970484708,0,0,1,1,1
80,39.07908672218124,-91.62183733683304,MO,2002050614,2002050606,2002050617,2002050605,2002050618,0.2208002085099281,104.01000213623048,1,0.2208002085099281,0.0,25.75,800.2019974,10,103.78920192772054,124.91874195072002,141.732,159.258,202.34120192772053,221.742,0,0,1,0,1
81,37.86463429390388,-94.14466017259468,MO,2002050722,2002050714,2002050802,2002050711,2002050802,24.13599710083008,145.03999710083008,7,78.99725118689906,9.23166997512571,38.630001068115234,718.6986344,5,120.904,146.68857717865484,167.77057717865483,189.86857717865485,245.933762995584,271.8417629955841,0,0,1,0,1
82,44.296148104326186,-97.19065579621446,SD,2002050805,2002050723,2002050807,2002050717,2002050816,45.564818778006696,130.0099973678589,26,442.082392057841,12.283997840469569,65.69000244140625,995.8142249,8,84.44517858985219,102.108,116.33200000000002,130.81000000000003,166.5212262801821,182.5232262801821,0,0,1,1,1
83,39.0933597822102,-93.74097910909973,MO,2002050823,2002050821,2002050906,2002050817,2002050909,1.9987326319113663,117.5,3,3.60837459868722,5.8958897972911055,38.880001068115234,1339.448839,8,115.50126736808863,142.6792673680886,165.5867435001204,190.172931365604,254.688931365604,285.406010868209,0,0,1,0,1
84,33.516523585023464,-93.38304693147596,AR,2002051004,2002051003,2002051013,2002050921,2002051016,31.415998092651364,163.74999809265137,7,81.18470310613617,11.21802110818905,58.0,932.3127729,8,132.334,159.25800000000004,181.1152205546109,204.47,263.40713483496853,290.830152420107,0,0,1,1,1
85,31.206078889291035,-102.84430975631976,TX,2002051022,2002051022,2002051101,2002051013,2002051111,5.244627885881556,89.25999736785889,3,12.59262788588154,3.86443799175655,76.25,171.5881253,0,84.01536948197733,104.58936948197731,120.950917187888,138.22291718788802,183.12228666986533,204.1825842496025,0,1,0,0,1
86,33.0839147091353,-82.75921094596765,GA,2002051119,2002051118,2002051121,2002051101,2002051211,44.39586544245108,156.89999389648438,12,197.8350607991082,8.819886836022683,130.0,55.91063089,0,112.50412845403328,135.08565208495685,153.62765208495685,173.20167111993828,223.9734897288912,247.5710133598147,0,1,0,0,1
87,39.60775857248939,-93.35869570350678,MO,2002051205,2002051123,2002051207,2002051119,2002051212,8.392003662109403,120.66000366210938,3,17.120004844665573,5.919947751231253,45.810001373291016,937.967863,8,112.26799999999996,138.93799999999996,161.28999999999996,185.410037008498,248.1745700470917,278.12003700849795,0,0,1,1,1
88,41.75620456558284,-83.53333085005022,MI,2002051211,2002051204,2002051216,2002051201,2002051220,11.468000343322757,85.89000034332275,19,78.8682034094885,4.262536989622628,19.5,1549.094575,11,74.422,91.186,105.72869273748393,121.4766927374839,164.14869273748388,184.5337770605452,0,0,1,1,1
