event,lat,lon,event_time,start_time,end_time,exceedance,accumulation,exceed_pts,exceed_vol,exceed_length,max_1hr,max_pflength,pflength_duration,ari_10,ari_25,ari_50,ari_100,ari_500,ari_1000,tc_flag,iso_flag,mcs_flag,noct_flag
82,25.58586105888996,-81.17513138344964,2002051521,2002051520,2002051601,29.83709410730353,196.1300048828125,7.0,124.24795168875984,5.153691233813279,157.8800048828125,213.56400910772533,1,166.29291077550897,206.34782558720744,239.87582083433443,275.68982545726794,369.33527650772334,413.5302234625967,0,0,0,0
83,26.22588469910557,-81.06067372596766,2002051620,2002051617,2002051622,5.093156707299414,153.5,1.0,5.093156707299414,0.0,108.62999725341795,268.8478873155777,2,148.4068432927006,183.20485418863265,212.16084109543493,243.3125226586544,324.3234243684218,362.81409985679295,0,0,0,0
84,37.18407108060227,-102.41519539083043,2002051623,2002051622,2002051705,2.618153658670465,83.1999990940094,1.0,2.618153658670465,0.0,49.25,200.4983159895802,1,80.58184543533893,102.38467559661804,121.41199493408205,142.0086754645986,198.1201598612268,225.52948007108893,0,0,0,0
85,35.99387834109787,-97.54939752919734,2002051704,2002051702,2002051711,20.17201232910155,136.25,12.0,84.34589937087897,5.737709655065104,62.290000915527344,1291.2270570438786,6,116.07798767089844,142.51268243380358,164.8459930419922,188.46798706054688,250.17129503190088,279.12730282004475,0,0,1,1
86,37.58532344596459,-89.90304123622343,2002051704,2002051703,2002051714,21.85095807260809,130.93999862670898,47.0,311.5461132265497,37.05775680346743,48.18999862670898,1297.027469623905,11,109.08904055410088,132.27316799277617,151.55507762332198,172.2521325800049,226.0172169171941,251.2862577764708,0,0,1,1
87,28.60326390881061,-81.61942695637822,2002051800,2002051800,2002051802,44.30801010131836,175.88000106811523,10.0,187.8547164255268,19.213599608671853,113.75,112.7021847959002,0,131.57199096679688,159.7332215941347,183.3879852294922,209.12561841160635,277.28123560250964,309.94771209227264,0,1,0,1
88,26.995761564944097,-98.99856629549754,2002051723,2002051722,2002051805,10.478055979020752,144.37999725341797,5.0,35.28667365012748,5.243789277839754,72.62999725341797,547.8254452403478,5,133.90194127439722,171.08920875294257,202.6920013427734,238.2519989013672,336.54998779296875,385.21120277149726,0,0,1,0
89,26.626623232959844,-81.71429853265164,2002051906,2002051906,2002051918,40.6868976598833,192.1300048828125,6.0,95.13982900151328,8.264179395395843,81.5,1148.073694073631,8,151.4431072229292,184.92159047714068,211.8314136793232,240.1360191252124,311.1923319154833,343.72748473328795,0,0,1,1
90,35.77216546542771,-101.1907046084703,2002052401,2002052323,2002052406,109.72426488313984,200.0,134.0,4468.206236241045,90.10376430732174,62.380001068115234,361.3061818452789,4,90.27573511686016,110.24601869663728,125.98400115966795,142.10175534339976,184.24625074562027,203.8042399266392,0,0,1,1
91,33.23134499289869,-99.38662889673378,2002052508,2002052500,2002052511,60.87201690673828,170.60000610351562,34.0,971.6714246426012,31.90719745735388,49.380001068115234,336.5330307821453,1,109.72798919677734,136.3979949951172,158.64992472660447,182.8561608574616,247.14198303222656,278.1061732532486,0,0,0,1
92,31.68195161987333,-102.45248749880012,2002052601,2002052600,2002052603,48.12747424695991,132.3800048828125,11.0,242.75457367252665,11.012195504765328,63.380001068115234,93.86342850709973,0,84.2525306358526,104.57253259742753,120.6500015258789,137.9219970703125,184.58252483751272,207.009994506836,0,1,0,0
93,35.35693979742791,-88.78837527657583,2002052611,2002052606,2002052614,29.51364589654457,145.3799991607666,4.0,80.0369797635796,0.0,109.37999725341795,408.7521621399658,3,115.86635326422204,135.635986328125,151.14678899064413,167.385986328125,206.47644021988287,224.34037197128265,0,0,0,1
94,33.22147838297572,-97.76298193895047,2002052605,2002052604,2002052607,10.164003372192385,130.55999946594238,1.0,10.164003372192385,0.0,94.69000244140624,196.82887552270373,0,120.39599609375,147.43267016546463,169.92599487304688,193.6606669916365,252.87679217907336,279.9421078534525,0,1,0,1
